query,query_type,label,cluster,pred
what does it mean when your abs light is on,DESCRIPTION,0,-1,0
what it would be if i mix honey and milk,DESCRIPTION,0,-1,0
median average household income,NUMERIC,1,6,1
what is the smallest breed of rat terrier,ENTITY,2,-1,2
what is phonology in language,ENTITY,2,17,0
what does dying heart muscle mean,DESCRIPTION,0,17,0
what application own this process ntbshell.exe,DESCRIPTION,0,-1,0
definition of feminist poetry,DESCRIPTION,0,17,0
member ship cost anytime fitness,NUMERIC,1,6,1
lumbar facet syndrome causes,DESCRIPTION,0,9,0
what county is oregon ohio,LOCATION,3,0,3
what is telecharger,DESCRIPTION,0,17,0
"what county is orrington, me",LOCATION,3,0,3
what family is Diplococcus pneumoniae in?,ENTITY,2,-1,2
what is trotting,DESCRIPTION,0,17,0
what is weight of upright piano,NUMERIC,1,6,1
define nein,DESCRIPTION,0,17,0
definition of translational medicine,DESCRIPTION,0,17,0
when can i separate my hostas,DESCRIPTION,0,6,1
how long can a tobacco test detect tobacco,NUMERIC,1,6,1
how to install wide plank hardwood flooring,DESCRIPTION,0,17,0
do chickpeas contain inulin -insulin,DESCRIPTION,0,17,0
pitieth definition,DESCRIPTION,0,17,0
current weather in lithopolis ohio,NUMERIC,1,-1,0
where is emeryville ca,LOCATION,3,0,3
us immigration points,DESCRIPTION,0,-1,1
what is the purpose of the spleen in the body,DESCRIPTION,0,17,0
what color is manilla,ENTITY,2,8,2
definition for meteor,DESCRIPTION,0,17,0
who is: l.e. freeman?,PERSON,4,3,4
what is a hydrostat for an underwater mine,DESCRIPTION,0,17,0
how do photographers charge,DESCRIPTION,0,17,0
culture meaning in urdu,DESCRIPTION,0,17,0
why is it important for people to know where erosion and deposition are occurring today,DESCRIPTION,0,17,0
chemistry explain sodium what is it used for,DESCRIPTION,0,17,0
did the nationals win,DESCRIPTION,0,-1,0
how much does a special needs assistant earn,NUMERIC,1,6,1
difference between goal and expectation,DESCRIPTION,0,17,0
decimal binary how to convert,DESCRIPTION,0,17,0
how far is nashville tn from closest beach,NUMERIC,1,6,1
cost of a bennington pontoon,NUMERIC,1,6,1
difference between rules and expectations,DESCRIPTION,0,17,0
what causes my legs and feet to be tight and bloated,DESCRIPTION,0,17,0
how far is corinth from athens,NUMERIC,1,6,1
who made the electric washing machine,PERSON,4,3,4
biggest tadpole,DESCRIPTION,0,-1,2
where is split rock state park located,LOCATION,3,0,3
most effective creatine supplements,ENTITY,2,-1,2
how much is a permit to carry in iowa,NUMERIC,1,6,1
what is herda in horses,ENTITY,2,17,0
how long can the human body stay awake,NUMERIC,1,6,1
what is the first aid procedure for a person who has inhaled poison,ENTITY,2,-1,0
what happens in the atmosphere to the water in order for the clouds to form?,DESCRIPTION,0,17,0
difference between misdemeanor and felony trial,DESCRIPTION,0,-1,0
types of effective communication techniques,DESCRIPTION,0,15,0
dental hygienist salary in ma,NUMERIC,1,6,1
how many horsepower in challenger sxt,NUMERIC,1,6,1
where is the appendix?,LOCATION,3,0,3
arkansas dept of revenue mailing address,LOCATION,3,-1,1
why did us declare independence from britain,DESCRIPTION,0,17,0
what is the oman?,DESCRIPTION,0,17,0
who is eligible to work in tribal casinos,PERSON,4,3,4
who invented the numbers,PERSON,4,3,4
what is dazzle video hardware,DESCRIPTION,0,17,0
what is a cpl officer,DESCRIPTION,0,17,0
what are the proposed marine pft requirements,DESCRIPTION,0,17,0
are student loan forgiveness programs legit,DESCRIPTION,0,17,0
a viper,DESCRIPTION,0,-1,0
are laser tag games harmful,DESCRIPTION,0,17,0
encumbrance real estate definition,DESCRIPTION,0,17,0
what is the tricare definition for referral and authorization,DESCRIPTION,0,17,0
dad bod meaning,DESCRIPTION,0,-1,0
on which island is located hickam afb,LOCATION,3,0,3
what does army apfu stand for,DESCRIPTION,0,17,0
what county is logan in?,LOCATION,3,0,3
what region is Indiana,LOCATION,3,0,3
why is saline used when making specimen smear,DESCRIPTION,0,17,0
how many watts in a kilowa,NUMERIC,1,6,1
digital hd release dates schedules,NUMERIC,1,-1,1
meaning of the name deepthi,DESCRIPTION,0,17,0
what's the temperature in pompano beach fl,NUMERIC,1,6,1
best laptop with microsoft office installed,DESCRIPTION,0,-1,2
where was the apple company created,LOCATION,3,0,3
six flags in california phone number,NUMERIC,1,6,1
what causes extreme tornadoes compared to normal tornadoes,DESCRIPTION,0,17,0
is marijuana legal in alaska?,DESCRIPTION,0,-1,0
how to reduce microphone noise windows 10,DESCRIPTION,0,17,0
how do i get all my lines on an excel sheet to do the same calculations,DESCRIPTION,0,17,0
